frame_number,src_mac,dst_mac,eth_type,src_ip,dst_ip,ip_proto,ip_ttl,src_port,dst_port,tcp_flags,packet_time,packet_length,packet_summary,protocol_name_x,packet_information_x,protocol_name_y,packet_information_y,protocol_name_x,packet_information_x,protocol_name_y,packet_information_y
4,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,SA,1210953938.217778,74,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 SA,,,TCP,"631 → 55341 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 WS=1 TSval=5827876 TSecr=7073320",TCP,"631 → 55341 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 WS=1 TSval=5827876 TSecr=7073320",TCP,"631 → 55341 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 WS=1 TSval=5827876 TSecr=7073320"
4,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,SA,1210953938.217778,74,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 SA,,,,,TCP,"631 → 55341 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 WS=1 TSval=5827876 TSecr=7073320",TCP,"631 → 55341 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 WS=1 TSval=5827876 TSecr=7073320"
4,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55341,SA,1210953938.217778,74,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55341 SA,,,,,,,TCP,"631 → 55341 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 WS=1 TSval=5827876 TSecr=7073320"
5,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,A,1210953938.217806,66,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 A,TCP,55341 → 631 [ACK] Seq=1 Ack=1 Win=5888 Len=0 TSval=7073323 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=1 Ack=1 Win=5888 Len=0 TSval=7073323 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=1 Ack=1 Win=5888 Len=0 TSval=7073323 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=1 Ack=1 Win=5888 Len=0 TSval=7073323 TSecr=5827876
5,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,A,1210953938.217806,66,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 A,,,TCP,55341 → 631 [ACK] Seq=1 Ack=1 Win=5888 Len=0 TSval=7073323 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=1 Ack=1 Win=5888 Len=0 TSval=7073323 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=1 Ack=1 Win=5888 Len=0 TSval=7073323 TSecr=5827876
5,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,A,1210953938.217806,66,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 A,,,,,TCP,55341 → 631 [ACK] Seq=1 Ack=1 Win=5888 Len=0 TSval=7073323 TSecr=5827876,TCP,55341 → 631 [ACK] Seq=1 Ack=1 Win=5888 Len=0 TSval=7073323 TSecr=5827876
5,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,A,1210953938.217806,66,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 A,,,,,,,TCP,55341 → 631 [ACK] Seq=1 Ack=1 Win=5888 Len=0 TSval=7073323 TSecr=5827876
6,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,PA,1210953938.217998,207,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 PA / Raw,TCP,POST /ipp/ HTTP/1.1  [TCP segment of a reassembled PDU],TCP,POST /ipp/ HTTP/1.1  [TCP segment of a reassembled PDU],TCP,POST /ipp/ HTTP/1.1  [TCP segment of a reassembled PDU],TCP,POST /ipp/ HTTP/1.1  [TCP segment of a reassembled PDU]
6,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,PA,1210953938.217998,207,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 PA / Raw,,,TCP,POST /ipp/ HTTP/1.1  [TCP segment of a reassembled PDU],TCP,POST /ipp/ HTTP/1.1  [TCP segment of a reassembled PDU],TCP,POST /ipp/ HTTP/1.1  [TCP segment of a reassembled PDU]
6,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,PA,1210953938.217998,207,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 PA / Raw,,,,,TCP,POST /ipp/ HTTP/1.1  [TCP segment of a reassembled PDU],TCP,POST /ipp/ HTTP/1.1  [TCP segment of a reassembled PDU]
6,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,PA,1210953938.217998,207,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 PA / Raw,,,,,,,TCP,POST /ipp/ HTTP/1.1  [TCP segment of a reassembled PDU]
7,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,PA,1210953938.218027,355,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 PA / Raw,IPP,IPP Request (Get-Printer-Attributes),IPP,IPP Request (Get-Printer-Attributes),IPP,IPP Request (Get-Printer-Attributes),IPP,IPP Request (Get-Printer-Attributes)
7,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,PA,1210953938.218027,355,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 PA / Raw,,,IPP,IPP Request (Get-Printer-Attributes),IPP,IPP Request (Get-Printer-Attributes),IPP,IPP Request (Get-Printer-Attributes)
7,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,PA,1210953938.218027,355,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 PA / Raw,,,,,IPP,IPP Request (Get-Printer-Attributes),IPP,IPP Request (Get-Printer-Attributes)
7,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55341,631,PA,1210953938.218027,355,Ether / IP / TCP 10.10.10.49:55341 > 10.10.10.251:631 PA / Raw,,,,,,,IPP,IPP Request (Get-Printer-Attributes)
