frame_number,src_mac,dst_mac,eth_type,src_ip,dst_ip,ip_proto,ip_ttl,src_port,dst_port,tcp_flags,packet_time,packet_length,packet_summary,protocol_name_x,packet_information_x,protocol_name_y,packet_information_y,protocol_name_x,packet_information_x,protocol_name_y,packet_information_y
74,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,PA,1210953938.350279,1130,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 PA / Raw,,,TCP,"55342 → 631 [PSH, ACK] Seq=47013 Ack=26 Win=5888 Len=1064 TSval=7073455 TSecr=5827877 [TCP segment of a reassembled PDU]",TCP,"55342 → 631 [PSH, ACK] Seq=47013 Ack=26 Win=5888 Len=1064 TSval=7073455 TSecr=5827877 [TCP segment of a reassembled PDU]",TCP,"55342 → 631 [PSH, ACK] Seq=47013 Ack=26 Win=5888 Len=1064 TSval=7073455 TSecr=5827877 [TCP segment of a reassembled PDU]"
74,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,PA,1210953938.350279,1130,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 PA / Raw,,,,,TCP,"55342 → 631 [PSH, ACK] Seq=47013 Ack=26 Win=5888 Len=1064 TSval=7073455 TSecr=5827877 [TCP segment of a reassembled PDU]",TCP,"55342 → 631 [PSH, ACK] Seq=47013 Ack=26 Win=5888 Len=1064 TSval=7073455 TSecr=5827877 [TCP segment of a reassembled PDU]"
74,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,PA,1210953938.350279,1130,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 PA / Raw,,,,,,,TCP,"55342 → 631 [PSH, ACK] Seq=47013 Ack=26 Win=5888 Len=1064 TSval=7073455 TSecr=5827877 [TCP segment of a reassembled PDU]"
75,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.350286,1922,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=48077 Ack=26 Win=5888 Len=1856 TSval=7073455 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=48077 Ack=26 Win=5888 Len=1856 TSval=7073455 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=48077 Ack=26 Win=5888 Len=1856 TSval=7073455 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=48077 Ack=26 Win=5888 Len=1856 TSval=7073455 TSecr=5827877 [TCP segment of a reassembled PDU]
75,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.350286,1922,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=48077 Ack=26 Win=5888 Len=1856 TSval=7073455 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=48077 Ack=26 Win=5888 Len=1856 TSval=7073455 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=48077 Ack=26 Win=5888 Len=1856 TSval=7073455 TSecr=5827877 [TCP segment of a reassembled PDU]
75,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.350286,1922,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,,,TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=48077 Ack=26 Win=5888 Len=1856 TSval=7073455 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=48077 Ack=26 Win=5888 Len=1856 TSval=7073455 TSecr=5827877 [TCP segment of a reassembled PDU]
75,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.350286,1922,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,,,,,TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=48077 Ack=26 Win=5888 Len=1856 TSval=7073455 TSecr=5827877 [TCP segment of a reassembled PDU]
76,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55342,A,1210953938.357448,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55342 A,TCP,631 → 55342 [ACK] Seq=26 Ack=49933 Win=2920 Len=0 TSval=5827877 TSecr=7073455,TCP,631 → 55342 [ACK] Seq=26 Ack=49933 Win=2920 Len=0 TSval=5827877 TSecr=7073455,TCP,631 → 55342 [ACK] Seq=26 Ack=49933 Win=2920 Len=0 TSval=5827877 TSecr=7073455,TCP,631 → 55342 [ACK] Seq=26 Ack=49933 Win=2920 Len=0 TSval=5827877 TSecr=7073455
76,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55342,A,1210953938.357448,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55342 A,,,TCP,631 → 55342 [ACK] Seq=26 Ack=49933 Win=2920 Len=0 TSval=5827877 TSecr=7073455,TCP,631 → 55342 [ACK] Seq=26 Ack=49933 Win=2920 Len=0 TSval=5827877 TSecr=7073455,TCP,631 → 55342 [ACK] Seq=26 Ack=49933 Win=2920 Len=0 TSval=5827877 TSecr=7073455
76,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55342,A,1210953938.357448,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55342 A,,,,,TCP,631 → 55342 [ACK] Seq=26 Ack=49933 Win=2920 Len=0 TSval=5827877 TSecr=7073455,TCP,631 → 55342 [ACK] Seq=26 Ack=49933 Win=2920 Len=0 TSval=5827877 TSecr=7073455
76,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55342,A,1210953938.357448,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55342 A,,,,,,,TCP,631 → 55342 [ACK] Seq=26 Ack=49933 Win=2920 Len=0 TSval=5827877 TSecr=7073455
77,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.357456,1106,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,TCP,55342 → 631 [ACK] Seq=49933 Ack=26 Win=5888 Len=1040 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,55342 → 631 [ACK] Seq=49933 Ack=26 Win=5888 Len=1040 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,55342 → 631 [ACK] Seq=49933 Ack=26 Win=5888 Len=1040 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,55342 → 631 [ACK] Seq=49933 Ack=26 Win=5888 Len=1040 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU]
77,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.357456,1106,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,TCP,55342 → 631 [ACK] Seq=49933 Ack=26 Win=5888 Len=1040 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,55342 → 631 [ACK] Seq=49933 Ack=26 Win=5888 Len=1040 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,55342 → 631 [ACK] Seq=49933 Ack=26 Win=5888 Len=1040 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU]
77,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.357456,1106,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,,,TCP,55342 → 631 [ACK] Seq=49933 Ack=26 Win=5888 Len=1040 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,55342 → 631 [ACK] Seq=49933 Ack=26 Win=5888 Len=1040 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU]
77,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.357456,1106,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,,,,,TCP,55342 → 631 [ACK] Seq=49933 Ack=26 Win=5888 Len=1040 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU]
78,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.357461,1946,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=50973 Ack=26 Win=5888 Len=1880 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=50973 Ack=26 Win=5888 Len=1880 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=50973 Ack=26 Win=5888 Len=1880 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=50973 Ack=26 Win=5888 Len=1880 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU]
78,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.357461,1946,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=50973 Ack=26 Win=5888 Len=1880 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=50973 Ack=26 Win=5888 Len=1880 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=50973 Ack=26 Win=5888 Len=1880 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU]
78,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.357461,1946,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,,,TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=50973 Ack=26 Win=5888 Len=1880 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=50973 Ack=26 Win=5888 Len=1880 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU]
78,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.357461,1946,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,,,,,TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=50973 Ack=26 Win=5888 Len=1880 TSval=7073462 TSecr=5827877 [TCP segment of a reassembled PDU]
79,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55342,A,1210953938.365127,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55342 A,TCP,631 → 55342 [ACK] Seq=26 Ack=52853 Win=2920 Len=0 TSval=5827877 TSecr=7073462,TCP,631 → 55342 [ACK] Seq=26 Ack=52853 Win=2920 Len=0 TSval=5827877 TSecr=7073462,TCP,631 → 55342 [ACK] Seq=26 Ack=52853 Win=2920 Len=0 TSval=5827877 TSecr=7073462,TCP,631 → 55342 [ACK] Seq=26 Ack=52853 Win=2920 Len=0 TSval=5827877 TSecr=7073462
79,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55342,A,1210953938.365127,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55342 A,,,TCP,631 → 55342 [ACK] Seq=26 Ack=52853 Win=2920 Len=0 TSval=5827877 TSecr=7073462,TCP,631 → 55342 [ACK] Seq=26 Ack=52853 Win=2920 Len=0 TSval=5827877 TSecr=7073462,TCP,631 → 55342 [ACK] Seq=26 Ack=52853 Win=2920 Len=0 TSval=5827877 TSecr=7073462
79,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55342,A,1210953938.365127,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55342 A,,,,,TCP,631 → 55342 [ACK] Seq=26 Ack=52853 Win=2920 Len=0 TSval=5827877 TSecr=7073462,TCP,631 → 55342 [ACK] Seq=26 Ack=52853 Win=2920 Len=0 TSval=5827877 TSecr=7073462
79,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55342,A,1210953938.365127,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55342 A,,,,,,,TCP,631 → 55342 [ACK] Seq=26 Ack=52853 Win=2920 Len=0 TSval=5827877 TSecr=7073462
80,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,PA,1210953938.365142,1082,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 PA / Raw,TCP,"55342 → 631 [PSH, ACK] Seq=52853 Ack=26 Win=5888 Len=1016 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU]",TCP,"55342 → 631 [PSH, ACK] Seq=52853 Ack=26 Win=5888 Len=1016 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU]",TCP,"55342 → 631 [PSH, ACK] Seq=52853 Ack=26 Win=5888 Len=1016 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU]",TCP,"55342 → 631 [PSH, ACK] Seq=52853 Ack=26 Win=5888 Len=1016 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU]"
80,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,PA,1210953938.365142,1082,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 PA / Raw,,,TCP,"55342 → 631 [PSH, ACK] Seq=52853 Ack=26 Win=5888 Len=1016 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU]",TCP,"55342 → 631 [PSH, ACK] Seq=52853 Ack=26 Win=5888 Len=1016 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU]",TCP,"55342 → 631 [PSH, ACK] Seq=52853 Ack=26 Win=5888 Len=1016 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU]"
80,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,PA,1210953938.365142,1082,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 PA / Raw,,,,,TCP,"55342 → 631 [PSH, ACK] Seq=52853 Ack=26 Win=5888 Len=1016 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU]",TCP,"55342 → 631 [PSH, ACK] Seq=52853 Ack=26 Win=5888 Len=1016 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU]"
80,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,PA,1210953938.365142,1082,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 PA / Raw,,,,,,,TCP,"55342 → 631 [PSH, ACK] Seq=52853 Ack=26 Win=5888 Len=1016 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU]"
81,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.36515,1970,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=53869 Ack=26 Win=5888 Len=1904 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=53869 Ack=26 Win=5888 Len=1904 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=53869 Ack=26 Win=5888 Len=1904 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=53869 Ack=26 Win=5888 Len=1904 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU]
81,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.36515,1970,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=53869 Ack=26 Win=5888 Len=1904 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=53869 Ack=26 Win=5888 Len=1904 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=53869 Ack=26 Win=5888 Len=1904 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU]
81,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.36515,1970,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,,,TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=53869 Ack=26 Win=5888 Len=1904 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=53869 Ack=26 Win=5888 Len=1904 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU]
81,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.36515,1970,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,,,,,TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=53869 Ack=26 Win=5888 Len=1904 TSval=7073470 TSecr=5827877 [TCP segment of a reassembled PDU]
82,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55342,A,1210953938.372293,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55342 A,TCP,631 → 55342 [ACK] Seq=26 Ack=55773 Win=2920 Len=0 TSval=5827877 TSecr=7073470,TCP,631 → 55342 [ACK] Seq=26 Ack=55773 Win=2920 Len=0 TSval=5827877 TSecr=7073470,TCP,631 → 55342 [ACK] Seq=26 Ack=55773 Win=2920 Len=0 TSval=5827877 TSecr=7073470,TCP,631 → 55342 [ACK] Seq=26 Ack=55773 Win=2920 Len=0 TSval=5827877 TSecr=7073470
82,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55342,A,1210953938.372293,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55342 A,,,TCP,631 → 55342 [ACK] Seq=26 Ack=55773 Win=2920 Len=0 TSval=5827877 TSecr=7073470,TCP,631 → 55342 [ACK] Seq=26 Ack=55773 Win=2920 Len=0 TSval=5827877 TSecr=7073470,TCP,631 → 55342 [ACK] Seq=26 Ack=55773 Win=2920 Len=0 TSval=5827877 TSecr=7073470
82,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55342,A,1210953938.372293,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55342 A,,,,,TCP,631 → 55342 [ACK] Seq=26 Ack=55773 Win=2920 Len=0 TSval=5827877 TSecr=7073470,TCP,631 → 55342 [ACK] Seq=26 Ack=55773 Win=2920 Len=0 TSval=5827877 TSecr=7073470
82,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55342,A,1210953938.372293,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55342 A,,,,,,,TCP,631 → 55342 [ACK] Seq=26 Ack=55773 Win=2920 Len=0 TSval=5827877 TSecr=7073470
83,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.37232,1058,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,TCP,55342 → 631 [ACK] Seq=55773 Ack=26 Win=5888 Len=992 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,55342 → 631 [ACK] Seq=55773 Ack=26 Win=5888 Len=992 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,55342 → 631 [ACK] Seq=55773 Ack=26 Win=5888 Len=992 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,55342 → 631 [ACK] Seq=55773 Ack=26 Win=5888 Len=992 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU]
83,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.37232,1058,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,TCP,55342 → 631 [ACK] Seq=55773 Ack=26 Win=5888 Len=992 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,55342 → 631 [ACK] Seq=55773 Ack=26 Win=5888 Len=992 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,55342 → 631 [ACK] Seq=55773 Ack=26 Win=5888 Len=992 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU]
83,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.37232,1058,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,,,TCP,55342 → 631 [ACK] Seq=55773 Ack=26 Win=5888 Len=992 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,55342 → 631 [ACK] Seq=55773 Ack=26 Win=5888 Len=992 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU]
83,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.37232,1058,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,,,,,TCP,55342 → 631 [ACK] Seq=55773 Ack=26 Win=5888 Len=992 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU]
84,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.372335,1994,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=56765 Ack=26 Win=5888 Len=1928 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=56765 Ack=26 Win=5888 Len=1928 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=56765 Ack=26 Win=5888 Len=1928 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=56765 Ack=26 Win=5888 Len=1928 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU]
84,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.372335,1994,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=56765 Ack=26 Win=5888 Len=1928 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=56765 Ack=26 Win=5888 Len=1928 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=56765 Ack=26 Win=5888 Len=1928 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU]
84,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.372335,1994,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,,,TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=56765 Ack=26 Win=5888 Len=1928 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU],TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=56765 Ack=26 Win=5888 Len=1928 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU]
84,00:1b:63:98:bf:36,00:12:79:80:69:60,2048,10.10.10.49,10.10.10.251,6,64,55342,631,A,1210953938.372335,1994,Ether / IP / TCP 10.10.10.49:55342 > 10.10.10.251:631 A / Raw,,,,,,,TCP,[TCP Window Full] 55342 → 631 [ACK] Seq=56765 Ack=26 Win=5888 Len=1928 TSval=7073477 TSecr=5827877 [TCP segment of a reassembled PDU]
85,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55342,A,1210953938.381377,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55342 A,TCP,631 → 55342 [ACK] Seq=26 Ack=58693 Win=2920 Len=0 TSval=5827877 TSecr=7073477,TCP,631 → 55342 [ACK] Seq=26 Ack=58693 Win=2920 Len=0 TSval=5827877 TSecr=7073477,TCP,631 → 55342 [ACK] Seq=26 Ack=58693 Win=2920 Len=0 TSval=5827877 TSecr=7073477,TCP,631 → 55342 [ACK] Seq=26 Ack=58693 Win=2920 Len=0 TSval=5827877 TSecr=7073477
85,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55342,A,1210953938.381377,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55342 A,,,TCP,631 → 55342 [ACK] Seq=26 Ack=58693 Win=2920 Len=0 TSval=5827877 TSecr=7073477,TCP,631 → 55342 [ACK] Seq=26 Ack=58693 Win=2920 Len=0 TSval=5827877 TSecr=7073477,TCP,631 → 55342 [ACK] Seq=26 Ack=58693 Win=2920 Len=0 TSval=5827877 TSecr=7073477
85,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55342,A,1210953938.381377,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55342 A,,,,,TCP,631 → 55342 [ACK] Seq=26 Ack=58693 Win=2920 Len=0 TSval=5827877 TSecr=7073477,TCP,631 → 55342 [ACK] Seq=26 Ack=58693 Win=2920 Len=0 TSval=5827877 TSecr=7073477
85,00:12:79:80:69:60,00:1b:63:98:bf:36,2048,10.10.10.251,10.10.10.49,6,64,631,55342,A,1210953938.381377,66,Ether / IP / TCP 10.10.10.251:631 > 10.10.10.49:55342 A,,,,,,,TCP,631 → 55342 [ACK] Seq=26 Ack=58693 Win=2920 Len=0 TSval=5827877 TSecr=7073477
